source_index,target_index,distance_m,duration_s,waycategory
"[-75.2003548, 40.0494771]","[-75.1604697, 39.9560453]",13328.3,1383.9,"[[0, 253, 0]]"
"[-75.2003548, 40.0494771]","[-75.1675937, 39.9498476]",15955.1,1497.1,"[[0, 99, 0], [99, 240, 1], [240, 276, 0]]"
"[-75.2003548, 40.0494771]","[-75.1670679, 39.9458843]",14541.4,1561.2,"[[0, 281, 0]]"
"[-75.2003548, 40.0494771]","[-75.1552838, 39.9513696]",13630.8,1449.2,"[[0, 264, 0]]"
"[-75.2003548, 40.0494771]","[-75.1779185, 39.9527664]",14549.0,1366.6,"[[0, 99, 0], [99, 240, 1], [240, 253, 0]]"
"[-75.2003548, 40.0494771]","[-75.1797862, 39.9531685]",14718.5,1402.5,"[[0, 99, 0], [99, 233, 1], [233, 257, 0]]"
"[-75.2003548, 40.0494771]","[-75.1544702, 39.9614844]",12391.5,1285.1,"[[0, 230, 0]]"
"[-75.2003548, 40.0494771]","[-75.1655897, 39.9673357]",11853.3,1221.4,"[[0, 210, 0]]"
"[-75.2003548, 40.0494771]","[-75.16608, 39.9510606]",15613.5,1474.1,"[[0, 99, 0], [99, 240, 1], [240, 266, 0]]"
"[-75.2003548, 40.0494771]","[-75.1664209, 39.9503433]",14016.6,1489.3,"[[0, 269, 0]]"
"[-75.2003548, 40.0494771]","[-75.1561177, 39.9487839]",14156.1,1540.1,"[[0, 285, 0]]"
"[-75.2003548, 40.0494771]","[-75.1595695, 39.950964]",13394.3,1411.7,"[[0, 262, 0]]"
"[-75.2003548, 40.0494771]","[-75.1498611, 39.9520642]",13724.8,1431.5,"[[0, 262, 0]]"
"[-75.1948313, 40.0515325]","[-75.1666744, 39.9529142]",15551.2,1517.8,"[[0, 292, 0]]"
"[-75.1948313, 40.0515325]","[-75.1547527, 39.9461843]",15575.4,1592.6,"[[0, 309, 0]]"
"[-75.1948313, 40.0515325]","[-75.1588087, 39.9519519]",14742.2,1434.6,"[[0, 281, 0]]"
"[-75.1948313, 40.0515325]","[-75.1555507, 39.9554634]",14340.8,1393.5,"[[0, 273, 0]]"
"[-75.1948313, 40.0515325]","[-75.1683452, 39.953861]",15297.3,1483.6,"[[0, 288, 0]]"
"[-75.1948313, 40.0515325]","[-75.1524421, 39.9486116]",13793.8,1553.5,"[[0, 270, 0]]"
"[-75.1948313, 40.0515325]","[-75.1696579, 39.9671376]",12897.0,1276.3,"[[0, 225, 0]]"
"[-75.1948313, 40.0515325]","[-75.1687489, 39.9511026]",16837.8,1489.6,"[[0, 122, 0], [122, 263, 1], [263, 288, 0]]"
"[-75.1948313, 40.0515325]","[-75.1513737, 39.9499548]",13608.2,1512.6,"[[0, 268, 0]]"
"[-75.1948313, 40.0515325]","[-75.1658471, 39.9513517]",15267.3,1496.1,"[[0, 289, 0]]"
"[-75.1948313, 40.0515325]","[-75.1808705, 39.9496709]",16680.6,1519.4,"[[0, 122, 0], [122, 263, 1], [263, 291, 0]]"
"[-75.1948313, 40.0515325]","[-75.16993, 39.954012]",16582.6,1491.7,"[[0, 122, 0], [122, 263, 1], [263, 283, 0]]"
"[-75.1948313, 40.0515325]","[-75.1689145, 39.9534406]",16580.1,1495.6,"[[0, 122, 0], [122, 263, 1], [263, 284, 0]]"
"[-75.1948313, 40.0515325]","[-75.1621446, 39.9565208]",14569.2,1413.4,"[[0, 276, 0]]"
"[-75.1948313, 40.0515325]","[-75.1562587, 39.9526803]",14828.4,1455.6,"[[0, 283, 0]]"
"[-75.1948313, 40.0515325]","[-75.160496, 39.9495792]",14915.6,1464.2,"[[0, 287, 0]]"
"[-75.1948313, 40.0515325]","[-75.1596329, 39.9559719]",14296.5,1387.6,"[[0, 273, 0]]"
"[-75.1948313, 40.0515325]","[-75.1543343, 39.9547207]",14654.5,1448.3,"[[0, 278, 0]]"
"[-75.1948313, 40.0515325]","[-75.1512021, 39.9477973]",13760.9,1531.1,"[[0, 271, 0]]"
"[-75.1948313, 40.0515325]","[-75.1712732, 39.953202]",16388.5,1465.8,"[[0, 122, 0], [122, 263, 1], [263, 280, 0]]"
"[-75.1948313, 40.0515325]","[-75.1646384, 39.9505969]",15384.4,1510.7,"[[0, 290, 0]]"
"[-75.1948313, 40.0515325]","[-75.1553822, 39.9564976]",14702.3,1462.0,"[[0, 279, 0]]"
"[-75.1948313, 40.0515325]","[-75.1521691, 39.9498503]",15371.9,1524.5,"[[0, 302, 0]]"
"[-75.1948313, 40.0515325]","[-75.1655738, 39.9548474]",14958.6,1440.8,"[[0, 277, 0]]"
"[-75.1948313, 40.0515325]","[-75.1462398, 39.9534007]",13420.0,1490.9,"[[0, 272, 0]]"
"[-75.1948313, 40.0515325]","[-75.1669977, 39.9542162]",15323.9,1494.5,"[[0, 286, 0]]"
"[-75.1948313, 40.0515325]","[-75.1659027, 39.9549769]",14998.4,1450.4,"[[0, 278, 0]]"
"[-75.1948313, 40.0515325]","[-75.1691875, 39.9538357]",15357.7,1493.1,"[[0, 290, 0]]"
"[-75.1948313, 40.0515325]","[-75.168648, 39.9552849]",15230.4,1478.1,"[[0, 284, 0]]"
"[-75.1948313, 40.0515325]","[-75.1686976, 39.9550004]",15229.6,1478.0,"[[0, 284, 0]]"
"[-75.1948313, 40.0515325]","[-75.1666223, 39.951126]",16984.2,1505.2,"[[0, 122, 0], [122, 263, 1], [263, 289, 0]]"
"[-75.1948313, 40.0515325]","[-75.1658779, 39.9533135]",15074.3,1453.3,"[[0, 280, 0]]"
"[-75.1948313, 40.0515325]","[-75.1541314, 39.9549848]",14496.3,1410.4,"[[0, 276, 0]]"
"[-75.1948313, 40.0515325]","[-75.1548244, 39.9607]",13901.9,1343.4,"[[0, 256, 0]]"
"[-75.1948313, 40.0515325]","[-75.1729633, 39.9619508]",14299.3,1445.8,"[[0, 254, 0]]"
"[-75.1948313, 40.0515325]","[-75.1559444, 39.9539208]",14476.8,1430.7,"[[0, 276, 0]]"
"[-75.1948313, 40.0515325]","[-75.1669336, 39.9542882]",15328.0,1495.2,"[[0, 286, 0]]"
"[-75.1948313, 40.0515325]","[-75.1604697, 39.9560453]",14745.8,1419.9,"[[0, 276, 0]]"
"[-75.1948313, 40.0515325]","[-75.1675937, 39.9498476]",17372.5,1533.1,"[[0, 122, 0], [122, 263, 1], [263, 299, 0]]"
