source_index,target_index,distance_m,duration_s,waycategory
"[-75.0793505, 40.0560017]","[-75.1462398, 39.9534007]",15495.6,1392.7,"[[0, 271, 0]]"
"[-75.0793505, 40.0560017]","[-75.1669977, 39.9542162]",16510.4,1494.0,"[[0, 312, 0]]"
"[-75.0793505, 40.0560017]","[-75.1659027, 39.9549769]",16184.9,1450.0,"[[0, 304, 0]]"
"[-75.0793505, 40.0560017]","[-75.1691875, 39.9538357]",16544.2,1492.7,"[[0, 316, 0]]"
"[-75.0793505, 40.0560017]","[-75.168648, 39.9552849]",16416.8,1477.7,"[[0, 310, 0]]"
"[-75.0793505, 40.0560017]","[-75.1686976, 39.9550004]",16416.1,1477.6,"[[0, 310, 0]]"
"[-75.0793505, 40.0560017]","[-75.1666223, 39.951126]",16938.6,1527.7,"[[0, 321, 0]]"
"[-75.0793505, 40.0560017]","[-75.1658779, 39.9533135]",16260.8,1452.8,"[[0, 306, 0]]"
"[-75.0793505, 40.0560017]","[-75.1541314, 39.9549848]",15682.8,1409.9,"[[0, 302, 0]]"
"[-75.0793505, 40.0560017]","[-75.1548244, 39.9607]",15088.4,1342.9,"[[0, 282, 0]]"
"[-75.0793505, 40.0560017]","[-75.1729633, 39.9619508]",16398.3,1560.8,"[[0, 306, 0]]"
"[-75.0793505, 40.0560017]","[-75.1559444, 39.9539208]",15663.2,1430.3,"[[0, 302, 0]]"
"[-75.0793505, 40.0560017]","[-75.1669336, 39.9542882]",16514.5,1494.8,"[[0, 312, 0]]"
"[-75.0793505, 40.0560017]","[-75.1604697, 39.9560453]",15932.2,1419.4,"[[0, 302, 0]]"
"[-75.0793505, 40.0560017]","[-75.1675937, 39.9498476]",16794.4,1534.2,"[[0, 322, 0]]"
"[-75.0793505, 40.0560017]","[-75.1670679, 39.9458843]",17145.3,1596.7,"[[0, 330, 0]]"
"[-75.0793505, 40.0560017]","[-75.1552838, 39.9513696]",15906.2,1450.3,"[[0, 275, 0]]"
"[-75.0793505, 40.0560017]","[-75.1779185, 39.9527664]",17544.4,1596.1,"[[0, 334, 0]]"
"[-75.0793505, 40.0560017]","[-75.1797862, 39.9531685]",18046.8,1660.3,"[[0, 338, 0]]"
"[-75.0793505, 40.0560017]","[-75.1544702, 39.9614844]",14995.4,1320.6,"[[0, 279, 0]]"
"[-75.0793505, 40.0560017]","[-75.1655897, 39.9673357]",14952.1,1360.7,"[[0, 279, 0]]"
"[-75.0793505, 40.0560017]","[-75.16608, 39.9510606]",16985.3,1532.5,"[[0, 321, 0]]"
