source_index,target_index,distance_m,duration_s,waycategory
"[-75.3063145, 39.9504892]","[-75.1552838, 39.9513696]",13964.7,1535.3,"[[0, 308, 0]]"
"[-75.3063145, 39.9504892]","[-75.1779185, 39.9527664]",12143.9,1287.2,"[[0, 286, 0]]"
"[-75.3063145, 39.9504892]","[-75.1797862, 39.9531685]",11701.8,1236.1,"[[0, 277, 0]]"
"[-75.3063145, 39.9504892]","[-75.1544702, 39.9614844]",16184.0,1533.4,"[[0, 328, 0]]"
"[-75.3063145, 39.9504892]","[-75.1655897, 39.9673357]",14857.1,1398.7,"[[0, 299, 0]]"
"[-75.3063145, 39.9504892]","[-75.16608, 39.9510606]",12891.9,1380.3,"[[0, 293, 0]]"
"[-75.3063145, 39.9504892]","[-75.1664209, 39.9503433]",13071.2,1409.8,"[[0, 296, 0]]"
"[-75.3063145, 39.9504892]","[-75.1561177, 39.9487839]",14313.9,1540.0,"[[0, 328, 0]]"
"[-75.3063145, 39.9504892]","[-75.1595695, 39.950964]",13677.2,1496.3,"[[0, 302, 0]]"
"[-75.3063145, 39.9504892]","[-75.1498611, 39.9520642]",16360.4,1520.4,"[[0, 223, 0], [223, 312, 1], [312, 319, 0]]"
"[-75.3061645, 39.9511293]","[-75.1666744, 39.9529142]",12836.0,1381.5,"[[0, 298, 0]]"
"[-75.3061645, 39.9511293]","[-75.1547527, 39.9461843]",14182.7,1515.9,"[[0, 328, 0]]"
"[-75.3061645, 39.9511293]","[-75.1588087, 39.9519519]",15582.7,1490.5,"[[0, 222, 0], [222, 291, 1], [291, 318, 0]]"
"[-75.3061645, 39.9511293]","[-75.1555507, 39.9554634]",15352.6,1449.8,"[[0, 222, 0], [222, 291, 1], [291, 315, 0]]"
"[-75.3061645, 39.9511293]","[-75.1683452, 39.953861]",13094.8,1414.6,"[[0, 302, 0]]"
"[-75.3061645, 39.9511293]","[-75.1524421, 39.9486116]",14125.2,1570.4,"[[0, 309, 0]]"
"[-75.3061645, 39.9511293]","[-75.1696579, 39.9671376]",14364.8,1353.6,"[[0, 291, 0]]"
"[-75.3061645, 39.9511293]","[-75.1687489, 39.9511026]",12552.6,1345.9,"[[0, 291, 0]]"
"[-75.3061645, 39.9511293]","[-75.1513737, 39.9499548]",14066.9,1537.0,"[[0, 309, 0]]"
"[-75.3061645, 39.9511293]","[-75.1658471, 39.9513517]",13103.1,1429.7,"[[0, 307, 0]]"
"[-75.3061645, 39.9511293]","[-75.1808705, 39.9496709]",12506.4,1327.9,"[[0, 259, 0]]"
"[-75.3061645, 39.9511293]","[-75.16993, 39.954012]",12638.6,1353.0,"[[0, 295, 0]]"
"[-75.3061645, 39.9511293]","[-75.1689145, 39.9534406]",12636.1,1356.9,"[[0, 296, 0]]"
"[-75.3061645, 39.9511293]","[-75.1621446, 39.9565208]",14850.4,1414.9,"[[0, 222, 0], [222, 291, 1], [291, 303, 0]]"
"[-75.3061645, 39.9511293]","[-75.1562587, 39.9526803]",15668.8,1511.5,"[[0, 222, 0], [222, 291, 1], [291, 320, 0]]"
"[-75.3061645, 39.9511293]","[-75.160496, 39.9495792]",13347.2,1454.6,"[[0, 300, 0]]"
"[-75.3061645, 39.9511293]","[-75.1596329, 39.9559719]",14999.9,1415.5,"[[0, 222, 0], [222, 291, 1], [291, 307, 0]]"
"[-75.3061645, 39.9511293]","[-75.1543343, 39.9547207]",15666.3,1504.7,"[[0, 222, 0], [222, 291, 1], [291, 320, 0]]"
"[-75.3061645, 39.9511293]","[-75.1512021, 39.9477973]",14250.5,1551.1,"[[0, 311, 0]]"
"[-75.3061645, 39.9511293]","[-75.1712732, 39.953202]",12419.8,1336.5,"[[0, 289, 0]]"
"[-75.3061645, 39.9511293]","[-75.1646384, 39.9505969]",12875.5,1381.2,"[[0, 293, 0]]"
"[-75.3061645, 39.9511293]","[-75.1553822, 39.9564976]",15714.1,1518.3,"[[0, 222, 0], [222, 291, 1], [291, 321, 0]]"
"[-75.3061645, 39.9511293]","[-75.1521691, 39.9498503]",13979.9,1524.3,"[[0, 307, 0]]"
"[-75.3061645, 39.9511293]","[-75.1655738, 39.9548474]",14855.9,1411.1,"[[0, 222, 0], [222, 291, 1], [291, 299, 0]]"
"[-75.3061645, 39.9511293]","[-75.1462398, 39.9534007]",16380.2,1542.4,"[[0, 222, 0], [222, 311, 1], [311, 328, 0]]"
"[-75.3061645, 39.9511293]","[-75.1669977, 39.9542162]",14635.9,1439.0,"[[0, 222, 0], [222, 285, 1], [285, 318, 0]]"
"[-75.3061645, 39.9511293]","[-75.1659027, 39.9549769]",14895.7,1420.7,"[[0, 222, 0], [222, 291, 1], [291, 300, 0]]"
"[-75.3061645, 39.9511293]","[-75.1691875, 39.9538357]",13155.2,1424.2,"[[0, 304, 0]]"
"[-75.3061645, 39.9511293]","[-75.168648, 39.9552849]",14542.3,1422.7,"[[0, 222, 0], [222, 285, 1], [285, 316, 0]]"
"[-75.3061645, 39.9511293]","[-75.1686976, 39.9550004]",14541.5,1422.6,"[[0, 222, 0], [222, 285, 1], [285, 316, 0]]"
"[-75.3061645, 39.9511293]","[-75.1666223, 39.951126]",12699.0,1361.5,"[[0, 292, 0]]"
"[-75.3061645, 39.9511293]","[-75.1658779, 39.9533135]",14971.6,1423.5,"[[0, 222, 0], [222, 291, 1], [291, 302, 0]]"
"[-75.3061645, 39.9511293]","[-75.1541314, 39.9549848]",15508.1,1466.7,"[[0, 222, 0], [222, 291, 1], [291, 318, 0]]"
"[-75.3061645, 39.9511293]","[-75.1548244, 39.9607]",16130.8,1541.7,"[[0, 330, 0]]"
"[-75.3061645, 39.9511293]","[-75.1729633, 39.9619508]",14238.8,1445.0,"[[0, 222, 0], [222, 285, 1], [285, 313, 0]]"
"[-75.3061645, 39.9511293]","[-75.1559444, 39.9539208]",15488.6,1487.0,"[[0, 222, 0], [222, 291, 1], [291, 318, 0]]"
"[-75.3061645, 39.9511293]","[-75.1669336, 39.9542882]",14639.9,1439.8,"[[0, 222, 0], [222, 285, 1], [285, 318, 0]]"
"[-75.3061645, 39.9511293]","[-75.1604697, 39.9560453]",14928.6,1410.4,"[[0, 222, 0], [222, 291, 1], [291, 306, 0]]"
"[-75.3061645, 39.9511293]","[-75.1675937, 39.9498476]",13087.4,1389.4,"[[0, 302, 0]]"
"[-75.3061645, 39.9511293]","[-75.1670679, 39.9458843]",13513.8,1417.3,"[[0, 278, 0]]"
"[-75.3061645, 39.9511293]","[-75.1552838, 39.9513696]",13818.6,1521.3,"[[0, 307, 0]]"
"[-75.3061645, 39.9511293]","[-75.1779185, 39.9527664]",11997.8,1273.2,"[[0, 285, 0]]"
"[-75.3061645, 39.9511293]","[-75.1797862, 39.9531685]",11555.7,1222.1,"[[0, 276, 0]]"
"[-75.3061645, 39.9511293]","[-75.1544702, 39.9614844]",16037.8,1519.4,"[[0, 327, 0]]"
"[-75.3061645, 39.9511293]","[-75.1655897, 39.9673357]",14711.0,1384.7,"[[0, 298, 0]]"
"[-75.3061645, 39.9511293]","[-75.16608, 39.9510606]",12745.7,1366.3,"[[0, 292, 0]]"
"[-75.3061645, 39.9511293]","[-75.1664209, 39.9503433]",12925.1,1395.8,"[[0, 295, 0]]"
"[-75.3061645, 39.9511293]","[-75.1561177, 39.9487839]",14167.8,1526.0,"[[0, 327, 0]]"
"[-75.3061645, 39.9511293]","[-75.1595695, 39.950964]",13531.0,1482.3,"[[0, 301, 0]]"
"[-75.3061645, 39.9511293]","[-75.1498611, 39.9520642]",16214.3,1506.4,"[[0, 222, 0], [222, 311, 1], [311, 318, 0]]"
"[-75.3077155, 39.950771]","[-75.1666744, 39.9529142]",12997.2,1404.3,"[[0, 301, 0]]"
"[-75.3077155, 39.950771]","[-75.1547527, 39.9461843]",14343.9,1538.7,"[[0, 331, 0]]"
"[-75.3077155, 39.950771]","[-75.1588087, 39.9519519]",15743.9,1513.3,"[[0, 225, 0], [225, 294, 1], [294, 321, 0]]"
